school_name,address,postal_code,url_address,region,education_level,lat,lon
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE   ,757702,http://www.wellingtonpri.moe.edu.sg,North,Primary,1.448,103.82
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72   ,649223,http://www.westgrovepri.moe.edu.sg/,West,Primary,1.34,103.702
WEST SPRING PRIMARY SCHOOL,60 Bukit Panjang Ring Road   ,679946,http://www.westspringpri.moe.edu.sg,West,Primary,1.378,103.763
WEST SPRING SECONDARY SCHOOL,61 SENJA  ROAD   ,677737,http://www.westspringsec.moe.edu.sg,West,Secondary,1.378,103.763
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD   ,677742,http://www.westviewpri.moe.edu.sg,West,Primary,1.378,103.763
WESTWOOD PRIMARY SCHOOL,1 Jurong West Street 73   ,649188,http://www.westwoodpri.moe.edu.sg,West,Primary,1.34,103.702
WESTWOOD SECONDARY SCHOOL,11 JURONG WEST STREET 25   ,648350,https://www.westwoodsec.moe.edu.sg,West,Secondary,1.34,103.702
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11   ,519075,http://www.whitesandspri.moe.edu.sg,East,Primary,1.372,103.949
WHITLEY SECONDARY SCHOOL,30 BISHAN STREET 24   ,579747,http://www.whitleysec.moe.edu.sg,Central,Secondary,1.356,103.844
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14   ,738079,http://www.woodgrovepri.moe.edu.sg/,North,Primary,1.436,103.786
WOODGROVE SECONDARY SCHOOL,3 WOODLANDS AVENUE 6   ,738990,https://www.woodgrovesec.moe.edu.sg,North,Secondary,1.436,103.786
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50   ,738853,http://www.woodlandspri.moe.edu.sg,North,Primary,1.436,103.786
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD   ,738240,http://www.woodlandsringpri.moe.edu.sg,North,Primary,1.436,103.786
WOODLANDS RING SECONDARY SCHOOL,21 WOODLANDS AVENUE 1   ,739062,http://www.woodlandsringsec.moe.edu.sg,North,Secondary,1.436,103.786
