school_name,address,postal_code,url_address,region,education_level,lat,lon
EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34   ,529231,http://www.eastspringsec.moe.edu.sg,East,Secondary,1.352,103.944
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS   ,828869,http://www.edgefieldpri.moe.edu.sg,North,Primary,1.4,103.902
EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD   ,828814,http://www.edgefieldsec.moe.edu.sg,North,Secondary,1.4,103.902
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52   ,518866,http://www.eliasparkpri.moe.edu.sg,East,Primary,1.372,103.949
ENDEAVOUR PRIMARY SCHOOL,10 Admiralty Link   ,757521,https://endeavourpri.moe.edu.sg/,North,Primary,1.448,103.82
EUNOIA JUNIOR COLLEGE,2 Sin Ming Place   ,573838,http://www.eunoiajc.moe.edu.sg,Central,Junior College,1.356,103.844
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE   ,738908,http://www.evergreenpri.moe.edu.sg/,North,Primary,1.436,103.786
EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83   ,738489,http://www.evergreensec.moe.edu.sg,North,Secondary,1.436,103.786
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD   ,139648,http://www.fmsp.moe.edu.sg/,West,Primary,1.306,103.792
FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD   ,139649,http://www.fairfieldmethodistsec.moe.edu.sg,West,Secondary,1.306,103.792
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD   ,217567,http://www.farrerparkpri.moe.edu.sg,Central,Primary,1.311,103.854
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD   ,469680,http://www.fengshanpri.moe.edu.sg,East,Primary,1.323,103.935
FERN GREEN PRIMARY SCHOOL,70 Fernvale Link   Fern Green Primary School,797538,www.ferngreenpri.moe.edu.sg,North,Primary,1.395,103.88
FERNVALE PRIMARY SCHOOL,1 Fernvale Lane   ,797701,www.fernvalepri.moe.edu.sg,North,Primary,1.395,103.88
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH   ,319252,http://www.firsttoapayohpri.moe.edu.sg,Central,Primary,1.332,103.848
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61   ,648200,http://www.frontierpri.moe.edu.sg,West,Primary,1.34,103.702
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1   ,739063,http://www.fuchunpri.moe.edu.sg,North,Primary,1.436,103.786
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13   ,609647,http://www.fuhuapri.moe.edu.sg,West,Primary,1.334,103.743
FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41   ,649410,http://www.fuhuasec.moe.edu.sg,West,Secondary,1.34,103.702
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE   ,158901,http://www.ganengsengpri.moe.edu.sg,Central,Primary,1.286,103.818
GAN ENG SENG SCHOOL,1 HENDERSON ROAD   ,159561,http://www.ganengsengsch.moe.edu.sg,Central,Secondary,1.286,103.818
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central   ,389706,www.geylangmethodistpri.moe.edu.sg,Central,Primary,1.318,103.887
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL   ,389705,http://www.geylangmethodistsec.moe.edu.sg,Central,Secondary,1.318,103.887
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42   ,529176,http://www.gongshangpri.moe.edu.sg,East,Primary,1.352,103.944
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains   ,828848,http://www.greendalepri.moe.edu.sg,North,Primary,1.4,103.902
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS   ,828866,http://www.greendalesec.moe.edu.sg,North,Secondary,1.4,103.902
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD   ,677744,http://www.greenridgepri.moe.edu.sg,West,Primary,1.378,103.763
GREENRIDGE SECONDARY SCHOOL,31 Gangsa Road   ,678972,http://www.greenridgesec.moe.edu.sg,West,Secondary,1.378,103.763
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62   ,737942,http://www.greenwoodpri.moe.edu.sg,North,Primary,1.436,103.786
GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12   ,579807,http://guangyangsec.moe.edu.sg,Central,Secondary,1.356,103.844
HAI SING CATHOLIC SCHOOL,9 Pasir Ris Drive 6   ,519421,http://www.haisingcatholic.moe.edu.sg,East,Secondary,1.372,103.949
HAIG GIRLS' SCHOOL,51 Koon Seng Road   ,427072,http://www.haiggirls.moe.edu.sg,Central,Primary,1.304,103.905
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD   ,278790,http://www.henryparkpri.moe.edu.sg,Central,Primary,1.315,103.81
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52   ,659250,http://www.hillgrovesec.moe.edu.sg,West,Secondary,1.359,103.752
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD   ,534786,http://www.holyinnocentshigh.moe.edu.sg,North,Secondary,1.365,103.875
HOLY INNOCENTS' PRIMARY SCHOOL,5 Lorong Low Koon   ,536451,http://www.holyinnocentspri.moe.edu.sg/,North,Primary,1.365,103.875
HONG WEN SCHOOL,30 TOWNER ROAD   ,327829,http://www.hongwen.moe.edu.sg,Central,Primary,1.328,103.855
HORIZON PRIMARY SCHOOL,61 Edgedale Plains   ,828819,http://www.horizonpri.moe.edu.sg,North,Primary,1.4,103.902
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93   ,534238,http://www.hougangpri.moe.edu.sg/,North,Primary,1.365,103.875
HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93   ,534256,http://www.hougangsec.moe.edu.sg,North,Secondary,1.365,103.875
HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42   ,649371,http://www.huayisec.moe.edu.sg,West,Secondary,1.34,103.702
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11   ,768857,http://www.huaminpri.moe.edu.sg,North,Primary,1.428,103.837
HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD   ,269734,https://www.hci.edu.sg/,Central,Secondary,1.315,103.81
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17   ,737888,http://www.innovapri.moe.edu.sg/,North,Primary,1.436,103.786
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71   ,768515,http://www.jieminpri.moe.edu.sg,North,Primary,1.428,103.837
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52   ,569228,http://www.jingshanpri.moe.edu.sg,North,Primary,1.369,103.845
JUNYUAN PRIMARY SCHOOL,2 Tampines Street 91   ,528906,https://junyuanpri.moe.edu.sg,East,Primary,1.352,103.944
JUNYUAN SECONDARY SCHOOL,11 TAMPINES STREET 84   ,528933,https://junyuansec.moe.edu.sg/,East,Secondary,1.352,103.944
JURONG PIONEER JUNIOR COLLEGE,21 Teck Whye Walk   ,688258,http://jpjc.moe.edu.sg,West,Junior College,1.384,103.745
JURONG PRIMARY SCHOOL,320 JURONG EAST Street 32   ,609476,http://www.jurongpri.moe.edu.sg,West,Primary,1.334,103.743
JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD   ,618652,http://www.jurongsec.moe.edu.sg,West,Secondary,1.32,103.732
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61   ,648368,http://www.jurongwestpri.moe.edu.sg,West,Primary,1.34,103.702
JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65   ,648348,https://www.jurongwestsec.moe.edu.sg,West,Secondary,1.34,103.702
JURONGVILLE SECONDARY SCHOOL,202 JURONG EAST AVENUE 1   ,609790,http://www.jurongvillesec.moe.edu.sg,West,Secondary,1.334,103.743
JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91   ,649038,http://juyingsec.moe.edu.sg,West,Secondary,1.34,103.702
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6   ,659762,http://www.kemingpri.moe.edu.sg,West,Primary,1.359,103.752
KENT RIDGE SECONDARY SCHOOL,147 WEST COAST ROAD   ,127368,http://www.kentridgesec.moe.edu.sg,West,Secondary,1.312,103.766
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH   ,319580,http://www.khengcheng.moe.edu.sg/,Central,Primary,1.332,103.848
KONG HWA SCHOOL,350 GUILLEMARD ROAD   ,399772,http://www.konghwa.moe.edu.sg,Central,Primary,1.318,103.887
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54   ,689189,http://kranjipri.moe.edu.sg,West,Primary,1.384,103.745
KRANJI SECONDARY SCHOOL,61 CHOA CHU KANG STREET 51   ,689333,http://www.kranjisec.moe.edu.sg,West,Secondary,1.384,103.745
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13   ,579793,http://www.kuochuanpresbyterianpri.moe.edu.sg,Central,Primary,1.356,103.844
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN STREET 13   ,579795,http://www.kuochuanpresbyteriansec.moe.edu.sg,Central,Secondary,1.356,103.844
LAKESIDE PRIMARY SCHOOL,161 Corporation Walk   ,618310,http://www.lakesidepri.moe.edu.sg/,West,Primary,1.32,103.732
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52   ,659243,http://www.lianhuapri.moe.edu.sg/,West,Primary,1.359,103.752
LOYANG VIEW SECONDARY SCHOOL,12 PASIR RIS STREET 11   ,519073,http://www.loyangviewsec.moe.edu.sg,East,Secondary,1.372,103.949
MAHA BODHI SCHOOL,10 UBI AVENUE 1   ,408931,http://www.mahabodhi.moe.edu.sg/,Central,Primary,1.318,103.887
MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1   ,408940,http://www.manjusrisec.moe.edu.sg,Central,Secondary,1.318,103.887
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD   ,368051,http://www.marisstellahigh.moe.edu.sg,Central,Mixed Level,1.332,103.87
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD   ,738927,http://www.marsilingpri.moe.edu.sg,North,Primary,1.436,103.786
MARSILING SECONDARY SCHOOL,12 MARSILING ROAD   ,739110,http://www.marsilingsec.moe.edu.sg,North,Secondary,1.436,103.786
MARYMOUNT CONVENT SCHOOL,20 Marymount Road   ,297754,http://www.marymountconvent.moe.edu.sg,Central,Primary,1.325,103.841
MAYFLOWER PRIMARY SCHOOL,200 Ang Mo Kio Avenue 5   ,569878,http://www.mayflowerpri.moe.edu.sg,North,Primary,1.369,103.845
MAYFLOWER SECONDARY SCHOOL,2 ANG MO KIO STREET 21   ,569384,http://www.mayflowersec.moe.edu.sg,North,Secondary,1.369,103.845
MEE TOH SCHOOL,21 EDGEDALE PLAINS   ,828867,http://www.meetoh.moe.edu.sg/,North,Primary,1.4,103.902
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71   ,518798,http://www.meridianpri.moe.edu.sg/,East,Primary,1.372,103.949
MERIDIAN SECONDARY SCHOOL,31 PASIR RIS STREET 51   ,518901,http://www.meridiansec.moe.edu.sg,East,Secondary,1.372,103.949
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive   ,599986,https://www.mgs.moe.edu.sg/,West,Primary,1.338,103.768
METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE   ,599986,http://www.mgs.moe.edu.sg,West,Secondary,1.338,103.768
MILLENNIA INSTITUTE,60 Bukit Batok West Avenue 8   ,658965,http://www.millenniainstitute.moe.edu.sg,West,Others (MI),1.359,103.752
MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8   ,538786,http://www.montfortjunior.moe.edu.sg/,North,Primary,1.365,103.875
MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8   ,538785,https://montfortsec.moe.edu.sg/,North,Secondary,1.365,103.875
NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK   ,545079,http://www.nanchiauhigh.moe.edu.sg,North,Secondary,1.392,103.893
NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK   ,545080,http://www.ncps.moe.edu.sg,North,Primary,1.392,103.893
NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1   ,129956,http://www.nanhuahigh.moe.edu.sg,West,Secondary,1.312,103.766
NAN HUA PRIMARY SCHOOL,30 Jalan Lempeng   ,128806,http://www.nanhuapri.moe.edu.sg,West,Primary,1.312,103.766
NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE   ,288683,https://www.nygh.edu.sg,Central,Secondary,1.325,103.841
NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3   ,556111,http://www.nanyangjc.moe.edu.sg/,North,Junior College,1.365,103.875
NANYANG PRIMARY SCHOOL,52 KING'S ROAD   ,268097,http://www.nyps.moe.edu.sg,Central,Primary,1.315,103.81
NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD   ,288913,http://www.nationaljc.moe.edu.sg,Central,Secondary,1.325,103.841
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4   ,769028,http://www.navalbasepri.moe.edu.sg/,North,Primary,1.428,103.837
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD   ,768689,http://www.navalbasesec.moe.edu.sg,North,Secondary,1.428,103.837
NEW TOWN PRIMARY SCHOOL,300 Tanglin Halt Road   ,148812,http://www.newtownpri.moe.edu.sg/,Central,Primary,1.321,103.885
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD   ,139657,http://www.newtownsec.moe.edu.sg,West,Secondary,1.306,103.792
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE   ,449149,http://www.ngeeannpri.moe.edu.sg,Central,Primary,1.304,103.905
NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32   ,529283,http://www.ngeeannsec.moe.edu.sg,East,Secondary,1.352,103.944
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET   ,545088,http://www.northspringpri.moe.edu.sg,North,Primary,1.392,103.893
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6   ,768960,http://www.northviewpri.moe.edu.sg,North,Primary,1.428,103.837
NORTH VISTA PRIMARY SCHOOL,20 Compassvale Link   ,544974,http://www.northvistapri.moe.edu.sg,North,Primary,1.392,103.893
NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK   ,545081,http://www.northvistasec.moe.edu.sg,North,Secondary,1.392,103.893
NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD   ,768692,http://www.northbrookssec.moe.edu.sg,North,Secondary,1.428,103.837
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4   ,769026,http://www.northlandpri.moe.edu.sg,North,Primary,1.428,103.837
NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22   ,768578,http://www.northlandsec.moe.edu.sg,North,Secondary,1.428,103.837
NORTHLIGHT SCHOOL,151 Towner Road   ,327830,https://www.nls.edu.sg,Central,Secondary,1.328,103.855
NORTHOAKS PRIMARY SCHOOL,61 Sembawang Drive   ,757622,http://www.northoakspri.moe.edu.sg,North,Primary,1.448,103.82
NORTHSHORE PRIMARY SCHOOL,30 Northshore Drive   ,828671,https://northshorepri.moe.edu.sg/,North,Primary,1.4,103.902
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 Clementi Avenue 1   ,129957,www.nushigh.edu.sg,West,Secondary,1.312,103.766
OASIS PRIMARY SCHOOL,71 Edgefield Plains   ,828716,http://www.oasispri.moe.edu.sg/,North,Primary,1.4,103.902
OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET   ,458436,http://www.operaestatepri.moe.edu.sg,Central,Primary,1.304,103.905
ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81   ,768454,http://www.orchidparksec.moe.edu.sg,North,Secondary,1.428,103.837
OUTRAM SECONDARY SCHOOL,48 Anchorvale Crescent   ,549936,http://www.outramsec.moe.edu.sg,North,Secondary,1.392,103.893
PALM VIEW PRIMARY SCHOOL,150 Compassvale Bow   ,544822,http://www.palmviewpri.moe.edu.sg,North,Primary,1.392,103.893
PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1   ,519524,http://www.parkviewpri.moe.edu.sg,East,Primary,1.372,103.949
PASIR RIS CREST SECONDARY SCHOOL,11 PASIR RIS STREET 41   ,518934,http://www.prcss.moe.edu.sg,East,Secondary,1.372,103.949
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21   ,518968,http://www.pasirrispri.moe.edu.sg,East,Primary,1.372,103.949
PASIR RIS SECONDARY SCHOOL,390 TAMPINES STREET 21   ,529400,https://pasirrissec.moe.edu.sg,East,Secondary,1.352,103.944
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO   ,536741,http://www.payalebarmethodistgirlspri.moe.edu.sg/,North,Primary,1.365,103.875
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LOR AH SOO   ,536742,http://www.plmgss.moe.edu.sg,North,Secondary,1.365,103.875
PEI CHUN PUBLIC SCHOOL,16 LORONG 7 TOA PAYOH   ,319320,http://www.peichunpublic.moe.edu.sg,Central,Primary,1.332,103.848
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE   ,597610,http://www.peihwapresbyterianpri.moe.edu.sg/,West,Primary,1.338,103.768
PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK   ,797702,http://www.peihwasec.moe.edu.sg,North,Secondary,1.395,103.88
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5   ,129857,http://www.peitongpri.moe.edu.sg/,West,Primary,1.312,103.766
PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4   ,556094,http://www.peicaisec.moe.edu.sg,North,Secondary,1.365,103.875
PEIRCE SECONDARY SCHOOL,10 SIN MING WALK   ,575566,http://www.peircesec.moe.edu.sg,Central,Secondary,1.356,103.844
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD   ,768687,http://www.peiyingpri.moe.edu.sg,North,Primary,1.428,103.837
PIONEER PRIMARY SCHOOL,80 TENGAH GARDEN AVENUE   ,699915,http://www.pioneerpri.moe.edu.sg,West,Primary,1.37,103.7
POI CHING SCHOOL,21 TAMPINES STREET 71   ,529067,http://www.poiching.moe.edu.sg,East,Primary,1.352,103.944
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6   ,569845,http://www.presbyterian.moe.edu.sg,North,Secondary,1.369,103.845
PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3   ,659163,http://www.princesselizabethpri.moe.edu.sg,West,Primary,1.359,103.752
PUNGGOL COVE PRIMARY SCHOOL,52 Sumang Walk   ,828674,https://punggolcovepri.moe.edu.sg/,North,Primary,1.4,103.902
PUNGGOL GREEN PRIMARY SCHOOL,98 Punggol Walk   ,828772,http://www.punggolgreenpri.moe.edu.sg,North,Primary,1.4,103.902
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8   ,538787,http://www.punggolpri.moe.edu.sg/,North,Primary,1.365,103.875
PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS   ,828870,http://www.punggolsec.moe.edu.sg,North,Secondary,1.4,103.902
PUNGGOL VIEW PRIMARY SCHOOL,9 Punggol Place   ,828845,http://www.punggolviewpri.moe.edu.sg,North,Primary,1.4,103.902
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE   ,128104,http://www.qifapri.moe.edu.sg,West,Primary,1.312,103.766
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81   ,738525,http://www.qihuapri.moe.edu.sg,North,Primary,1.436,103.786
QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR   ,149303,http://www.queenstownpri.moe.edu.sg,Central,Primary,1.321,103.885
QUEENSTOWN SECONDARY SCHOOL,1 STRATHMORE ROAD   ,148800,http://www.queenstownsec.moe.edu.sg,Central,Secondary,1.321,103.885
QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE   ,149295,http://www.queenswaysec.moe.edu.sg,Central,Secondary,1.321,103.885
RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE   ,099840,https://www.radinmaspri.moe.edu.sg/,Central,Primary,1.27,103.815
RAFFLES GIRLS' PRIMARY SCHOOL,21 Hillcrest Road   ,289072,http://www.rafflesgirlspri.moe.edu.sg,Central,Primary,1.325,103.841
RAFFLES GIRLS' SCHOOL (SECONDARY),2 BRADDELL RISE   ,318871,http://www.rgs.edu.sg,Central,Secondary,1.332,103.848
RAFFLES INSTITUTION,1 RAFFLES INSTITUTION LANE   ,575954,http://www.ri.edu.sg,Central,Secondary,1.356,103.844
RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3   ,469719,http://www.redswastika.moe.edu.sg,East,Primary,1.323,103.935
REGENT SECONDARY SCHOOL,50 CHOA CHU KANG NORTH 5   ,689621,http://regentsec.moe.edu.sg,West,Secondary,1.384,103.745
RIVER VALLEY HIGH SCHOOL,6 BOON LAY AVENUE   ,649961,https://rivervalleyhigh.moe.edu.sg/,West,Secondary,1.34,103.702
RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN   ,237993,http://www.rivervalleypri.moe.edu.sg,Central,Primary,1.302,103.837
RIVERSIDE PRIMARY SCHOOL,110 Woodlands Crescent   ,737803,http://www.riversidepri.moe.edu.sg,North,Primary,1.436,103.786
RIVERSIDE SECONDARY SCHOOL,3 WOODLANDS STREET 81   ,738524,http://www.riversidesec.moe.edu.sg,North,Secondary,1.436,103.786
RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE   ,545092,http://www.rivervalepri.moe.edu.sg/,North,Primary,1.392,103.893
ROSYTH SCHOOL,21 Serangoon North Avenue 4   ,555855,https://www.rosyth.moe.edu.sg,North,Primary,1.365,103.875
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52   ,649295,http://www.rulangpri.moe.edu.sg/,West,Primary,1.34,103.702
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1 Technology Drive   ,138572,http://www.sst.edu.sg,West,Secondary,1.306,103.792
"SCHOOL OF THE ARTS, SINGAPORE",1 Zubir Said Drive 05 01 ,227968,http://www.sota.edu.sg/,Central,Secondary,1.302,103.837
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE   ,757715,http://www.sembawangpri.moe.edu.sg,North,Primary,1.448,103.82
SEMBAWANG SECONDARY SCHOOL,30 SEMBAWANG CRESCENT   ,757704,http://www.sembawangsec.moe.edu.sg,North,Secondary,1.448,103.82
SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK   ,545166,http://www.sengkangpri.moe.edu.sg/,North,Primary,1.392,103.893
SENG KANG SECONDARY SCHOOL,10 COMPASSVALE LANE   ,545090,http://www.sengkangsec.moe.edu.sg,North,Secondary,1.392,103.893
SENGKANG GREEN PRIMARY SCHOOL,15 Fernvale Road   ,797636,https://sengkanggreenpri.moe.edu.sg/,North,Primary,1.395,103.88
SERANGOON GARDEN SECONDARY SCHOOL,21 SERANGOON NORTH AVENUE 1   ,555889,https://www.sgs.moe.edu.sg,North,Secondary,1.365,103.875
SERANGOON SECONDARY SCHOOL,11 UPPER SERANGOON VIEW   ,534237,http://www.serangoonsec.moe.edu.sg,North,Secondary,1.365,103.875
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51   ,649332,http://www.shuqunpri.moe.edu.sg,West,Primary,1.34,103.702
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1   ,739067,http://www.silingpri.moe.edu.sg,North,Primary,1.436,103.786
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190 DUNEARN ROAD   ,309437,www.scgs.moe.edu.sg,Central,Primary,1.325,103.841
SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD   ,309437,http://www.scgs.moe.edu.sg,Central,Secondary,1.325,103.841
SINGAPORE SPORTS SCHOOL,1 Champions Way   ,737913,http://www.sportsschool.edu.sg,North,Secondary,1.436,103.786
