Source,Project,Address,Price,Size_sqft,PSF
99co,"S$ 7,880/mo","S$ 7,880/mo, S$ 3.58 psf",7880,2201,3.58
EdgeProp,TEXTILE CENTRE,"$3,179, TEXTILE CENTRE, Less than 30 mins to City Centre",3179,883,3.6
99co,READY TO MOVE,"READY TO MOVE, S$ 3,179/mo, S$ 3.6 psf",3179,883,3.6
99co,"S$ 3,179/mo","S$ 3,179/mo, S$ 3.6 psf",3179,883,3.6
99co,Frankel Estate,"S$ 6,800/mo, S$ 3.68 psf, Frankel Estate",6800,1850,3.68
99co,"S$ 6,800/mo","S$ 6,800/mo, S$ 3.68 psf",6800,1847,3.68
SRX,Little India Conservation Area,"12d, Little India Conservation Area, Food And Beverage •",6500,1711,3.8
SRX,"1,711 sqft | $3.80 psf(Built)","1,711 sqft, $3.80 psf(Built), $6,500",6500,1711,3.8
99co,READY TO MOVE,"READY TO MOVE, S$ 5,500/mo, S$ 3.84 psf",5500,1432,3.84
99co,"S$ 5,500/mo","S$ 5,500/mo, S$ 3.84 psf",5500,1432,3.84
EdgeProp,PEOPLE'S PARK CENTRE,"EXCLUSIVE, $5,900, PEOPLE'S PARK CENTRE",5900,1527,3.86
EdgeProp,ICON @ PASIR PANJANG,"$4,000, ICON @ PASIR PANJANG, 1 Mall nearby",4000,1033,3.87
99co,"7 Crane Road, 429356","S$ 6,800/mo, S$ 3.89 psf, 7 Crane Road, 429356",6800,1750,3.89
99co,"S$ 6,800/mo","S$ 6,800/mo, S$ 3.89 psf",6800,1748,3.89
99co,The Citron,"S$ 1,850/mo, S$ 3.9 psf, The Citron",1850,474,3.9
99co,"S$ 1,850/mo","S$ 1,850/mo, S$ 3.9 psf",1850,474,3.9
EdgeProp,WOODS SQUARE,"EXCLUSIVE, $2,200, WOODS SQUARE",2200,560,3.93
99co,Opera Estate,"S$ 5,400/mo, S$ 3.93 psf, Opera Estate",5400,1374,3.93
99co,"S$ 5,400/mo","S$ 5,400/mo, S$ 3.93 psf",5400,1374,3.93
99co,"514 Thomson Road, 298179","S$ 4,750/mo, S$ 3.96 psf, 514 Thomson Road, 298179",4750,1200,3.96
99co,"S$ 4,750/mo","S$ 4,750/mo, S$ 3.96 psf",4750,1199,3.96
99co,Kreta Ayer Conservation Area,"S$ 4,800/mo, S$ 3.96 psf, Kreta Ayer Conservation Area",4800,1212,3.96
99co,"S$ 4,800/mo","S$ 4,800/mo, S$ 3.96 psf",4800,1212,3.96
99co,READY TO MOVE,"READY TO MOVE, S$ 6,288/mo, S$ 3.97 psf",6288,1582,3.97
99co,"S$ 6,288/mo","S$ 6,288/mo, S$ 3.97 psf, NEGO",6288,1583,3.97
SRX,"2,765 Commercial for Rent in Singapore, ","2,765 Commercial for Rent in Singapore, 2025, Multi Storey Car Park, Retail •",6288,1582,3.97
