Source,Project,Address,Price,Size_sqft,PSF
SRX,410 sqft | $6.34 psf(Built),"410 sqft, $6.34 psf(Built), $2,600",2600,410,6.34
99co,AVAIL 01/11/26,"AVAIL 01/11/26, Faster enquiries, Curated by 99",2800,441,6.35
99co,"S$ 2,800/mo","S$ 2,800/mo, S$ 6.35 psf, NEGO",2800,440,6.35
99co,Textile Centre,"S$ 1,588/mo, S$ 6.35 psf, Textile Centre",1588,250,6.35
99co,"S$ 1,588/mo","S$ 1,588/mo, S$ 6.35 psf",1588,250,6.35
99co,READY TO MOVE,"READY TO MOVE, S$ 750/mo, S$ 6.36 psf",750,118,6.36
99co,S$ 750/mo,"S$ 750/mo, S$ 6.36 psf, VIEW TO OFFER",750,117,6.36
SRX,Tai Seng Centre,"Tai Seng Centre, Food And Beverage •, 2,826 sqft",18000,2826,6.37
SRX,"2,826 sqft | $6.37 psf(Built)","2,826 sqft, $6.37 psf(Built), $18,000",18000,2826,6.37
SRX,Desker Road Conservation Area,"Desker Road Conservation Area, Food And Beverage •, 1,880 sqft",12000,1880,6.38
SRX,"1,880 sqft | $6.38 psf(Built)","1,880 sqft, $6.38 psf(Built), $12,000",12000,1880,6.38
99co,Enquire on multiple listings at once,"Faster enquiries, S$ 35,000/mo, S$ 6.39 psf",35000,5474,6.39
99co,"S$ 35,000/mo","S$ 35,000/mo, S$ 6.39 psf",35000,5477,6.39
EdgeProp,999 Yrs From 01/10/1827,"EXCLUSIVE, $18,809, SHOPHOUSE ALONG ANN SIANG ROAD, NEAR MAXWELL MRT",18809,2939,6.4
EdgeProp,APERIA,"$15,795, APERIA, 2 MRT/LRTs Currently nearby",15795,2468,6.4
EdgeProp,ANN SIANG ROAD,"EXCLUSIVE, $18,809, ANN SIANG ROAD",18809,2939,6.4
99co,READY TO MOVE,"READY TO MOVE, S$ 1,650/mo, S$ 6.4 psf",1650,258,6.4
99co,"S$ 1,650/mo","S$ 1,650/mo, S$ 6.4 psf, NEGO",1650,257,6.4
99co,Telok Ayer Conservation Area,"S$ 18,809/mo, S$ 6.4 psf, Telok Ayer Conservation Area",18809,2939,6.4
99co,"S$ 18,809/mo","S$ 18,809/mo, S$ 6.4 psf",18809,2938,6.4
SRX,Telok Ayer Conservation Area,"Telok Ayer Conservation Area, Food And Beverage •, 2,939 sqft",18800,2939,6.4
SRX,"2,939 sqft | $6.40 psf(Built)","2,939 sqft, $6.40 psf(Built), $18,800",18800,2939,6.4
99co,READY TO MOVE,"READY TO MOVE, S$ 5,000/mo, S$ 6.41 psf",5000,780,6.41
99co,"S$ 5,000/mo","S$ 5,000/mo, S$ 6.41 psf",5000,780,6.41
99co,Enquire on multiple listings at once,"Faster enquiries, S$ 8,000/mo, S$ 6.41 psf",8000,1248,6.41
99co,"S$ 8,000/mo","S$ 8,000/mo, S$ 6.41 psf",8000,1248,6.41
SRX,Park Place Residences At Plq,"Park Place Residences At Plq, Food And Beverage •, 1,200 sqft",7688,1200,6.41
SRX,"1,200 sqft | $6.41 psf(Built)","1,200 sqft, $6.41 psf(Built), $7,688",7688,1200,6.41
99co,READY TO MOVE,"READY TO MOVE, S$ 7,300/mo, S$ 6.42 psf",7300,1137,6.42
99co,"S$ 7,300/mo","S$ 7,300/mo, S$ 6.42 psf",7300,1137,6.42
SRX,Macpherson Mall,"14d, Macpherson Mall, Food And Beverage •",2500,388,6.44
SRX,388 sqft | $6.44 psf(Built),"388 sqft, $6.44 psf(Built), $2,500",2500,388,6.44
EdgeProp,NORTH BRIDGE CENTRE,"EXCLUSIVE, $2,800, NORTH BRIDGE CENTRE",2800,431,6.5
EdgeProp,Only 8.9% above Project Avg,"EXCLUSIVE, $4,688, SINGAPORE SHOPPING CENTRE",4688,721,6.5
EdgeProp,OG ALBERT COMPLEX,"$11,479, OG ALBERT COMPLEX, 6 MRT/LRTs Currently nearby",11479,1765,6.5
EdgeProp,THE ADELPHI,"$10,426, THE ADELPHI, 15 Malls nearby",10426,1604,6.5
EdgeProp,GOLDHILL PLAZA,"$3,250, GOLDHILL PLAZA, Less than 30 mins to City Centre",3250,500,6.5
EdgeProp,NORTH BRIDGE CENTRE,"$2,802, NORTH BRIDGE CENTRE, Less than 30 mins to City Centre",2802,431,6.5
EdgeProp,Aaron Tay,"$6,500, AMOY STREET, 13 Malls nearby",6500,1000,6.5
EdgeProp,THE ARCADE,"$10,146, THE ARCADE, Less than 30 mins to City Centre",10146,1561,6.5
EdgeProp,NEXUS @ONE-NORTH,"$16,693, NEXUS @ONE-NORTH, 1 Park nearby",16693,2568,6.5
EdgeProp,NEXUS @ONE-NORTH,"$20,772, NEXUS @ONE-NORTH, 2 Malls nearby",20772,3196,6.5
EdgeProp,NEXUS @ONE-NORTH,"$23,327, NEXUS @ONE-NORTH, Less than 30 mins to City Centre",23327,3589,6.5
EdgeProp,NEXUS @ONE-NORTH,"$12,498, NEXUS @ONE-NORTH, Less than 30 mins to City Centre",12498,1923,6.5
EdgeProp,Franklin Lee,"$6,500, AMOY STREET, Shophouse",6500,1000,6.5
EdgeProp,Jefferson Goh,"EXCLUSIVE, $5,200, MOHAMED SULTAN ROAD",5200,800,6.5
EdgeProp,PENINSULA PLAZA,"$11,258, PENINSULA PLAZA, 13 Malls nearby",11258,1732,6.5
99co,READY TO MOVE,"READY TO MOVE, Curated by 99, S$ 4,688/mo",4688,721,6.5
99co,"S$ 4,688/mo","S$ 4,688/mo, S$ 6.5 psf, NEGO",4688,721,6.5
99co,Grandlink Square,"S$ 52,000/mo, S$ 6.5 psf, Grandlink Square",52000,8000,6.5
99co,Hexacube,"S$ 3,217/mo, S$ 6.5 psf, Hexacube",3217,495,6.5
99co,Fully fitted,"S$ 6,500/mo, S$ 6.5 psf, 43 Amoy Street, 069869",6500,1000,6.5
99co,"S$ 52,000/mo","S$ 52,000/mo, S$ 6.5 psf",52000,8000,6.5
99co,"S$ 6,500/mo","S$ 6,500/mo, S$ 6.5 psf",6500,1000,6.5
99co,"S$ 3,217/mo","S$ 3,217/mo, S$ 6.5 psf",3217,494,6.5
99co,Partially fitted,"S$ 6,500/mo, S$ 6.5 psf, 43 Amoy Street, 069869",6500,1000,6.5
99co,READY TO MOVE,"READY TO MOVE, S$ 6,500/mo, S$ 6.5 psf",6500,1000,6.5
SRX,Ooi Bee Suan Irene,"Singapore Shopping Centre, Retail •, 721 sqft",4688,721,6.5
SRX,Commercial Unit,"Singapore Shopping Centre, Retail •, 721 sqft",4688,721,6.5
SRX,Singapore Shopping Centre,"Singapore Shopping Centre, Retail •, 721 sqft",4688,721,6.5
SRX,721 sqft | $6.50 psf(Built),"721 sqft, $6.50 psf(Built), $4,688",4688,721,6.5
SRX,Havelock2,"Havelock2, Food And Beverage •, 786 sqft",5109,786,6.5
SRX,786 sqft | $6.50 psf(Built),"786 sqft, $6.50 psf(Built), $5,109",5109,786,6.5
SRX,Grandlink Square,"Grandlink Square, 8,500 sqft, $6.50 psf(Built)",55250,8500,6.5
SRX,"8,500 sqft | $6.50 psf(Built)","8,500 sqft, $6.50 psf(Built), $55,250",55250,8500,6.5
EdgeProp,PAYA LEBAR SQUARE,"$3,500, PAYA LEBAR SQUARE, Less than 30 mins to City Centre",3500,538,6.51
99co,"41 Cambridge Road, 210041","S$ 8,000/mo, S$ 6.52 psf, 41 Cambridge Road, 210041",8000,1227,6.52
99co,"S$ 8,000/mo","S$ 8,000/mo, S$ 6.52 psf",8000,1226,6.52
99co,READY TO MOVE,"READY TO MOVE, S$ 8,000/mo, S$ 6.52 psf",8000,1227,6.52
EdgeProp,Outram Road,"EXCLUSIVE, $2,600, CONCORDE SHOPPING CENTRE",2600,398,6.53
99co,READY TO MOVE,"READY TO MOVE, S$ 2,600/mo, S$ 6.53 psf",2600,398,6.53
99co,"S$ 2,600/mo","S$ 2,600/mo, S$ 6.53 psf, NEGO",2600,398,6.53
SRX,S M Chia,"Concorde Shopping Centre, 398 sqft, $6.53 psf(Built)",2600,398,6.53
SRX,Commercial Unit,"Concorde Shopping Centre, 398 sqft, $6.53 psf(Built)",2600,398,6.53
SRX,Concorde Shopping Centre,"Concorde Shopping Centre, 398 sqft, $6.53 psf(Built)",2600,398,6.53
SRX,398 sqft | $6.53 psf(Built),"398 sqft, $6.53 psf(Built), $2,600",2600,398,6.53
EdgeProp,BIRCH ROAD,"EXCLUSIVE, $7,900, BIRCH ROAD",7900,1200,6.58
EdgeProp,249 JURONG EAST STREET 24,"$11,888, 249 JURONG EAST STREET 24, 1 MRT/LRT Currently nearby",11888,1808,6.58
99co,"S$ 11,888/mo","S$ 11,888/mo, S$ 6.58 psf",11888,1806,6.58
99co,"26 Sam Leong Road, 207916","S$ 2,500/mo, S$ 6.58 psf, 26 Sam Leong Road, 207916",2500,380,6.58
99co,"S$ 2,500/mo","S$ 2,500/mo, S$ 6.58 psf",2500,379,6.58
EdgeProp,HONGKONG STREET,"$25,679, HONGKONG STREET, 6 Parks nearby",25679,3890,6.6
EdgeProp,SOLARIS @ ONE-NORTH,"EXCLUSIVE, $57,618, SOLARIS @ ONE-NORTH",57618,8730,6.6
99co,"89 Owen Road, 218902","S$ 7,000/mo, S$ 6.6 psf, 89 Owen Road, 218902",7000,1060,6.6
99co,"S$ 7,000/mo","S$ 7,000/mo, S$ 6.6 psf",7000,1060,6.6
SRX,Avenue South Residence,"Avenue South Residence, Food And Beverage •, 711 sqft",4700,711,6.61
SRX,711 sqft | $6.61 psf(Built),"711 sqft, $6.61 psf(Built), $4,700",4700,711,6.61
EdgeProp,THE RIVERWALK,"EXCLUSIVE, $2,000, THE RIVERWALK",2000,302,6.62
99co,STARTING PRICE,"S$ 4,300/mo, S$ 6.62 psf, STARTING PRICE",4300,650,6.62
99co,"S$ 4,300/mo","S$ 4,300/mo, S$ 6.62 psf, STARTING PRICE",4300,649,6.62
99co,READY TO MOVE,"READY TO MOVE, S$ 5,200/mo, S$ 6.62 psf",5200,785,6.62
99co,"S$ 5,200/mo","S$ 5,200/mo, S$ 6.62 psf",5200,785,6.62
EdgeProp,JALAN BESAR,"EXCLUSIVE, $7,588, JALAN BESAR",7588,1145,6.63
99co,Enquire on multiple listings at once,"Faster enquiries, S$ 7,988/mo, S$ 6.66 psf",7988,1200,6.66
99co,"459 Geylang Road, 389418","S$ 7,988/mo, S$ 6.66 psf, 459 Geylang Road, 389418",7988,1200,6.66
99co,"S$ 7,988/mo","S$ 7,988/mo, S$ 6.66 psf",7988,1199,6.66
SRX,Geylang Road,"Geylang Road, Food And Beverage •, 1,200 sqft",7988,1200,6.66
SRX,"1,200 sqft | $6.66 psf(Built)","1,200 sqft, $6.66 psf(Built), $7,988",7988,1200,6.66
EdgeProp,BISHAN STREET 11,"$10,000, BISHAN STREET 11, Shop",10000,1500,6.67
99co,Boat Quay Conservation Area,"S$ 8,000/mo, S$ 6.67 psf, Boat Quay Conservation Area",8000,1200,6.67
99co,"S$ 8,000/mo","S$ 8,000/mo, S$ 6.67 psf",8000,1199,6.67
99co,Kampong Glam Conservation Area,"S$ 6,000/mo, S$ 6.67 psf, Kampong Glam Conservation Area",6000,899,6.67
99co,Ascent @ 456,"S$ 2,800/mo, S$ 6.67 psf, Ascent @ 456",2800,420,6.67
99co,"S$ 6,000/mo","S$ 6,000/mo, S$ 6.67 psf",6000,899,6.67
99co,"S$ 2,800/mo","S$ 2,800/mo, S$ 6.67 psf",2800,419,6.67
SRX,Geylang Road,"Geylang Road, Food And Beverage •, 1,150 sqft",7688,1150,6.69
SRX,"1,150 sqft | $6.69 psf(Built)","1,150 sqft, $6.69 psf(Built), $7,688",7688,1150,6.69
SRX,"2,765 Commercial for Rent in Singapore, ","2,765 Commercial for Rent in Singapore, 2025, Lorong Bachok, Food And Beverage •",7688,1150,6.69
SRX,Lorong Bachok,"Lorong Bachok, Food And Beverage •, 1,150 sqft",7688,1150,6.69
EdgeProp,TONG ENG BUILDING,"$8,220, TONG ENG BUILDING, 12 Malls nearby",8220,1227,6.7
EdgeProp,ZHONGSHAN MALL BALESTIER,"$36,288, ZHONGSHAN MALL BALESTIER, 2 MRT/LRTs Currently nearby",36288,5404,6.72
99co,Fu Lu Shou Complex,"S$ 8,600/mo, S$ 6.72 psf, Fu Lu Shou Complex",8600,1280,6.72
99co,"S$ 8,600/mo","S$ 8,600/mo, S$ 6.72 psf",8600,1279,6.72
EdgeProp,CHINATOWN POINT,"$5,000, CHINATOWN POINT, Less than 30 mins to City Centre",5000,743,6.73
99co,Sim Lim Square,"S$ 2,700/mo, S$ 6.75 psf, Sim Lim Square",2700,400,6.75
99co,"S$ 2,700/mo","S$ 2,700/mo, S$ 6.75 psf",2700,400,6.75
99co,Thomson Garden Estate,"S$ 11,500/mo, S$ 6.76 psf, Thomson Garden Estate",11500,1700,6.76
99co,"S$ 11,500/mo","S$ 11,500/mo, S$ 6.76 psf",11500,1701,6.76
SRX,King Albert Park,"King Albert Park, Retail •, 1,700 sqft",11500,1700,6.76
SRX,"1,700 sqft | $6.76 psf(Built)","1,700 sqft, $6.76 psf(Built), $11,500",11500,1700,6.76
EdgeProp,THE CENTRAL,"$4,300, THE CENTRAL, 2 Bus Stops nearby",4300,635,6.77
99co,People's Park Centre,"S$ 1,800/mo, S$ 6.77 psf, People's Park Centre",1800,266,6.77
99co,Kensington Square,"S$ 5,900/mo, S$ 6.77 psf, Kensington Square",5900,872,6.77
99co,"S$ 1,800/mo","S$ 1,800/mo, S$ 6.77 psf",1800,265,6.77
99co,"S$ 5,900/mo","S$ 5,900/mo, S$ 6.77 psf",5900,871,6.77
99co,"30 North Canal Road, 059286","S$ 16,000/mo, S$ 6.78 psf, 30 North Canal Road, 059286",16000,2359,6.78
99co,"S$ 16,000/mo","S$ 16,000/mo, S$ 6.78 psf",16000,2359,6.78
SRX,Arab Street,"Arab Street, Food And Beverage •, 2,800 sqft",19000,2800,6.79
SRX,"2,800 sqft | $6.79 psf(Built)","2,800 sqft, $6.79 psf(Built), $19,000",19000,2800,6.79
EdgeProp,OG ALBERT COMPLEX,"$4,231, OG ALBERT COMPLEX, 6 MRT/LRTs Currently nearby",4231,622,6.8
EdgeProp,OG ALBERT COMPLEX,"$3,741, OG ALBERT COMPLEX, 1 Park nearby",3741,550,6.8
EdgeProp,OG ALBERT COMPLEX,"$5,197, OG ALBERT COMPLEX, Less than 30 mins to City Centre",5197,764,6.8
EdgeProp,OG ALBERT COMPLEX,"$4,246, OG ALBERT COMPLEX, Less than 30 mins to City Centre",4246,624,6.8
EdgeProp,TEXTILE CENTRE,"EXCLUSIVE, $4,000, TEXTILE CENTRE",4000,588,6.8
EdgeProp,GALAXIS,"$136,000, GALAXIS, 1 MRT/LRT Currently nearby",136000,20000,6.8
EdgeProp,OG ALBERT COMPLEX,"$4,216, OG ALBERT COMPLEX, 3 Bus Stops nearby",4216,620,6.8
99co,"265 Outram Road, 169059","S$ 76,850/mo, S$ 6.8 psf, 265 Outram Road, 169059",76850,11300,6.8
99co,"S$ 76,850/mo","S$ 76,850/mo, S$ 6.8 psf",76850,11301,6.8
99co,Tanjong Pagar Conservation Area,"S$ 23,800/mo, S$ 6.8 psf, Tanjong Pagar Conservation Area",23800,3502,6.8
99co,"S$ 23,800/mo","S$ 23,800/mo, S$ 6.8 psf",23800,3500,6.8
SRX,Kensington Square,"Kensington Square, Mall • Partially Furnished • Built-2017, 872 sqft",5930,872,6.8
SRX,872 sqft | $6.80 psf(Built),"872 sqft, $6.80 psf(Built), $5,930",5930,872,6.8
EdgeProp,OG ALBERT COMPLEX,"$3,623, OG ALBERT COMPLEX, 6 MRT/LRTs Currently nearby",3623,532,6.81
EdgeProp,OG ALBERT COMPLEX,"$3,924, OG ALBERT COMPLEX, 3 Bus Stops nearby",3924,576,6.81
EdgeProp,PAYA LEBAR SQUARE,"$3,450, PAYA LEBAR SQUARE, 1 MRT/LRT Currently nearby",3450,506,6.82
99co,READY TO MOVE,"READY TO MOVE, S$ 2,600/mo, S$ 6.84 psf",2600,380,6.84
99co,"S$ 2,600/mo","S$ 2,600/mo, S$ 6.84 psf, VIEW TO OFFER",2600,380,6.84
99co,Tiong Bahru Estate,"S$ 12,000/mo, S$ 6.86 psf, Tiong Bahru Estate",12000,1750,6.86
99co,"S$ 12,000/mo","S$ 12,000/mo, S$ 6.86 psf",12000,1749,6.86
99co,"178 Toa Payoh Central, 310178","S$ 4,800/mo, S$ 6.86 psf, 178 Toa Payoh Central, 310178",4800,700,6.86
99co,"S$ 4,800/mo","S$ 4,800/mo, S$ 6.86 psf",4800,699,6.86
EdgeProp,FRANKEL ESTATE,"EXCLUSIVE, $22,000, FRANKEL ESTATE",22000,3200,6.88
99co,Tiong Bahru Orchid,"S$ 7,999/mo, S$ 6.88 psf, Tiong Bahru Orchid",7999,1162,6.88
99co,"S$ 7,999/mo","S$ 7,999/mo, S$ 6.88 psf",7999,1162,6.88
99co,Tiong Bahru Orchid,"S$ 3,999/mo, S$ 6.88 psf, Tiong Bahru Orchid",3999,581,6.88
99co,"S$ 3,999/mo","S$ 3,999/mo, S$ 6.88 psf",3999,581,6.88
SRX,Today,"Today, Wis@changi, Food And Beverage •",1700,247,6.88
SRX,Wis@changi,"Wis@changi, Food And Beverage •, 247 sqft",1700,247,6.88
SRX,247 sqft | $6.88 psf(Built),"247 sqft, $6.88 psf(Built), $1,700",1700,247,6.88
99co,NEGO,"S$ 6,900/mo, S$ 6.9 psf, NEGO",6900,1000,6.9
99co,"S$ 6,900/mo","S$ 6,900/mo, S$ 6.9 psf, NEGO",6900,1000,6.9
EdgeProp,PAYA LEBAR SQUARE,"$3,800, PAYA LEBAR SQUARE, Equal Project Avg",3800,549,6.92
SRX,Busy Jalan Besar fnb,"Busy Jalan Besar fnb, fitted up kitchen, Cheap rental",8999,1301,6.92
SRX,"1,301 sqft | $6.92 psf(Built)","1,301 sqft, $6.92 psf(Built), $8,999",8999,1301,6.92
SRX,Arc 380,"Arc 380, Food And Beverage •, 1,301 sqft",8999,1301,6.92
SRX,Arc 380,"Arc 380, Food And Beverage •, 1,300 sqft",9001,1300,6.92
SRX,"1,300 sqft | $6.92 psf(Built)","1,300 sqft, $6.92 psf(Built), $9,001",9001,1300,6.92
SRX,Petain Rd/ Tyrwhitt Road Conservation Ar,"15d, Petain Rd/ Tyrwhitt Road Conservation Area, Food And Beverage •",9000,1300,6.92
SRX,"1,300 sqft | $6.92 psf(Built)","1,300 sqft, $6.92 psf(Built), $9,000",9000,1300,6.92
99co,Jalan Besar Plaza,"S$ 8,000/mo, S$ 6.96 psf, Jalan Besar Plaza",8000,1150,6.96
99co,"S$ 8,000/mo","S$ 8,000/mo, S$ 6.96 psf",8000,1149,6.96
EdgeProp,PAYA LEBAR SQUARE,"$3,750, PAYA LEBAR SQUARE, 1 Bus Stop nearby",3750,538,6.97
99co,READY TO MOVE,"READY TO MOVE, S$ 4,500/mo, S$ 6.97 psf",4500,646,6.97
99co,"S$ 4,500/mo","S$ 4,500/mo, S$ 6.97 psf, NEGO",4500,645,6.97
99co,"17 Hongkong Street, 059660","S$ 9,800/mo, S$ 6.99 psf, 17 Hongkong Street, 059660",9800,1403,6.99
99co,"S$ 9,800/mo","S$ 9,800/mo, S$ 6.99 psf",9800,1402,6.99
EdgeProp,None,"$7 PSF, 1,200 sqft, None",8400,1200,7.0
EdgeProp,713 CLEMENTI WEST STREET 2,"$23,500, 713 CLEMENTI WEST STREET 2, 1 Mall nearby",23500,3358,7.0
EdgeProp,Clementi West Street 2,"$7 PSF, 3,358 sqft, 99 Years",23506,3358,7.0
EdgeProp,Eu Tong Sen Street,"$7 PSF, 635 sqft, 99 years",4445,635,7.0
EdgeProp,North Bridge Road,"$7 PSF, 431 sqft, 999 Years",3017,431,7.0
EdgeProp,Freehold,"$7 PSF, D14, Built: 2016",1281,183,7.0
EdgeProp,Jurong East Street 24,"$7 PSF, D22, 1,808 sqft",12656,1808,7.0
EdgeProp,Unknown,"$7 PSF, D12, 5,404 sqft",37828,5404,7.0
EdgeProp,Outram Road,"$7 PSF, 398 sqft, 99 Years",2786,398,7.0
EdgeProp,THE RIVERWALK,"$4,670, THE RIVERWALK, 4 Bus Stops nearby",4670,667,7.0
EdgeProp,20 Upper Circular Road,"$7 PSF, 667 sqft, 99 years",4669,667,7.0
EdgeProp,Upper Circular Road,"$7 PSF, 302 sqft, 99 Years",2114,302,7.0
EdgeProp,Paya Lebar Singapore,"$7 PSF, D14, 400 sqft",2800,400,7.0
EdgeProp,Hongkong Street,"$7 PSF, 3,890 sqft, Hongkong Street",27230,3890,7.0
EdgeProp,Beach Road,"$7 PSF, 441 sqft, 99 Years",3087,441,7.0
EdgeProp,Aljunied Avenue 2,"$7 PSF, D14, 270 sqft",1890,270,7.0
EdgeProp,Aljunied Avenue 2,"$7 PSF, D14, 323 sqft",2261,323,7.0
EdgeProp,99 Yrs From 25/07/2011,"$7 PSF, D14, 872 sqft",6104,872,7.0
EdgeProp,Clemenceau Avenue,"$7 PSF, 721 sqft, 99 Years",5047,721,7.0
EdgeProp,713 CLEMENTI WEST STREET 2,"$23,499, 713 CLEMENTI WEST STREET 2, 2 Parks nearby",23499,3358,7.0
EdgeProp,None,"$7 PSF, 1,765 sqft, None",12355,1765,7.0
EdgeProp,None,"$7 PSF, 622 sqft, None",4354,622,7.0
EdgeProp,None,"$7 PSF, 550 sqft, None",3850,550,7.0
EdgeProp,None,"$7 PSF, 764 sqft, None",5348,764,7.0
EdgeProp,None,"$7 PSF, 624 sqft, None",4368,624,7.0
EdgeProp,Unknown,"$7 PSF, 532 sqft, Unknown",3724,532,7.0
EdgeProp,FRASERS TOWER,"$4,522, FRASERS TOWER, 3 Parks nearby",4522,646,7.0
EdgeProp,CECIL STREET,"$7 PSF, 646 sqft, 99 Years",4522,646,7.0
EdgeProp,FRASERS TOWER,"$13,713, FRASERS TOWER, 15 Malls nearby",13713,1959,7.0
EdgeProp,CECIL STREET,"$7 PSF, 1,959 sqft, 99 Years",13713,1959,7.0
EdgeProp,456 ALEXANDRA ROAD,"EXCLUSIVE, $54,404, 456 ALEXANDRA ROAD",54404,7772,7.0
EdgeProp,Freehold,"$7 PSF, 7,772 sqft, Freehold",54404,7772,7.0
EdgeProp,456 ALEXANDRA ROAD,"EXCLUSIVE, $27,349, 456 ALEXANDRA ROAD",27349,3907,7.0
EdgeProp,Freehold,"$7 PSF, 3,907 sqft, Freehold",27349,3907,7.0
EdgeProp,456 ALEXANDRA ROAD,"EXCLUSIVE, $4,669, 456 ALEXANDRA ROAD",4669,667,7.0
EdgeProp,Freehold,"$7 PSF, 667 sqft, Freehold",4669,667,7.0
EdgeProp,Freehold,"$7 PSF, D15, Built: 2015",22400,3200,7.0
EdgeProp,Coleman Street,"$7 PSF, 1,604 sqft, 999 Years",11228,1604,7.0
EdgeProp,999 Yrs From 07/12/1972,"$7 PSF, D11, 500 sqft",3500,500,7.0
EdgeProp,Cecil Street,"$7 PSF, 1,227 sqft, 999 years",8589,1227,7.0
EdgeProp,Freehold,"$7 PSF, D19, Built: 2015",1155,165,7.0
EdgeProp,Freehold,"$7 PSF, 1,100 sqft, Freehold",7700,1100,7.0
EdgeProp,99 Yrs From 12/11/1980,"$7 PSF, 743 sqft, 99 Yrs From 12/11/1980",5201,743,7.0
EdgeProp,Eu Tong Sen Street,"$7 PSF, 603 sqft, 99 years",4221,603,7.0
EdgeProp,Fusionopolis Walk,"$7 PSF, 8,730 sqft, Fusionopolis Walk",61110,8730,7.0
EdgeProp,THE OCTAGON,"$43,323, THE OCTAGON, Office",43323,6189,7.0
EdgeProp,Freehold,"$7 PSF, 6,189 sqft, Freehold",43323,6189,7.0
EdgeProp,THE OCTAGON,"$33,026, THE OCTAGON, Office",33026,4718,7.0
EdgeProp,Freehold,"$7 PSF, 4,718 sqft, Freehold",33026,4718,7.0
EdgeProp,THE OCTAGON,"$9,170, THE OCTAGON, Office",9170,1310,7.0
EdgeProp,Freehold,"$7 PSF, 1,310 sqft, Freehold",9170,1310,7.0
EdgeProp,Paya Lebar Singapore,"$7 PSF, D14, 538 sqft",3766,538,7.0
EdgeProp,Jalan Sultan,"$7 PSF, Built: 1974, 588 sqft",4116,588,7.0
EdgeProp,Fusionopolis Place,"$7 PSF, 2,685 sqft, 60 years",18795,2685,7.0
EdgeProp,Fusionopolis Place,"$7 PSF, 20,000 sqft, 60 years",140000,20000,7.0
EdgeProp,Fusionopolis Place,"$7 PSF, 7,017 sqft, 60 years",49119,7017,7.0
EdgeProp,Fusionopolis Place,"$7 PSF, 10,000 sqft, 60 years",70000,10000,7.0
EdgeProp,99 Yrs From 01/10/1980,"$7 PSF, 1,561 sqft, 99 Yrs From 01/10/1980",10927,1561,7.0
EdgeProp,Unknown,"$7 PSF, 2,568 sqft, Unknown",17976,2568,7.0
EdgeProp,Unknown,"$7 PSF, 3,196 sqft, Unknown",22372,3196,7.0
EdgeProp,Unknown,"$7 PSF, 3,589 sqft, Unknown",25123,3589,7.0
EdgeProp,Unknown,"$7 PSF, 1,055 sqft, Unknown",7385,1055,7.0
EdgeProp,Unknown,"$7 PSF, 1,923 sqft, Unknown",13461,1923,7.0
EdgeProp,Paya Lebar Singapore,"$7 PSF, D14, 549 sqft",3843,549,7.0
EdgeProp,Paya Lebar Singapore,"$7 PSF, D14, 484 sqft",3388,484,7.0
EdgeProp,$7 PSF,"$7 PSF, Built: 1919, 1,145 sqft",8015,1145,7.0
EdgeProp,$7 PSF,"$7 PSF, D20, 1,500 sqft",10500,1500,7.0
EdgeProp,$7 PSF,"$7 PSF, 800 sqft, 999 Years",5600,800,7.0
EdgeProp,ORCHARD PLAZA,"EXCLUSIVE, $1,582, ORCHARD PLAZA",1582,226,7.0
EdgeProp,Orchard Road,"$7 PSF, 226 sqft, 99 Years",1582,226,7.0
EdgeProp,16.6% below Project Avg,"EXCLUSIVE, $10,927, FAR EAST SHOPPING CENTRE",10927,1561,7.0
EdgeProp,Orchard Road,"$7 PSF, 1,561 sqft, 999 Years",10927,1561,7.0
EdgeProp,CUPPAGE PLAZA,"EXCLUSIVE, $18,760, CUPPAGE PLAZA",18760,2680,7.0
EdgeProp,Koek Road,"$7 PSF, 2,680 sqft, 99 Years",18760,2680,7.0
EdgeProp,None,"$7 PSF, 576 sqft, None",4032,576,7.0
EdgeProp,None,"$7 PSF, 620 sqft, None",4340,620,7.0
EdgeProp,CANTONMENT CENTRAL,"$4,025, CANTONMENT CENTRAL, 3 Bus Stops nearby",4025,575,7.0
EdgeProp,Unknown,"$7 PSF, 575 sqft, Unknown",4025,575,7.0
EdgeProp,CANTONMENT CENTRAL,"$9,240, CANTONMENT CENTRAL, Less than 30 mins to City Centre",9240,1320,7.0
EdgeProp,Unknown,"$7 PSF, 1,320 sqft, Unknown",9240,1320,7.0
EdgeProp,CANTONMENT CENTRAL,"$7,973, CANTONMENT CENTRAL, 1 MRT/LRT Currently nearby",7973,1139,7.0
EdgeProp,Unknown,"$7 PSF, 1,139 sqft, Unknown",7973,1139,7.0
EdgeProp,STARHUB CENTRE,"$12,957, STARHUB CENTRE, 1 MRT/LRT Currently nearby",12957,1851,7.0
EdgeProp,Unknown,"$7 PSF, 1,851 sqft, Unknown",12957,1851,7.0
EdgeProp,North Bridge Road,"$7 PSF, Built: 1981, 1,732 sqft",12124,1732,7.0
EdgeProp,STARHUB CENTRE,"$9,415, STARHUB CENTRE, 18 Malls nearby",9415,1345,7.0
EdgeProp,Unknown,"$7 PSF, 1,345 sqft, Unknown",9415,1345,7.0
EdgeProp,FAR EAST SQUARE,"$13,258, FAR EAST SQUARE, Less than 30 mins to City Centre",13258,1894,7.0
EdgeProp,None,"$7 PSF, 1,894 sqft, None",13258,1894,7.0
